Ybirth,Pi,Ps,growth,Gi,Gd,l,age_mat,Lp50,Finput,CVg
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,280.29,2,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,280.29,2,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,280.29,2,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,280.29,2,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,280.29,2,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
297,-12.55,0.17,90,0.68,0.6,212.31,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,243.72,2,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,243.72,2,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,243.72,2,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,243.72,2,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,243.72,2,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
298,-12.55,0.17,90,0.68,0.6,190.45,1,73.824,0.2,0
