Ybirth,Pi,Ps,growth,Gi,Gd,l,age_mat,Lp50,Finput,CVg
145,-7.16,0.03,157,0.68,0.6,525.42,2,238.67,0.2,0
145,-7.16,0.03,157,0.68,0.6,525.42,2,238.67,0.2,0
145,-7.16,0.03,157,0.68,0.6,525.42,2,238.67,0.2,0
145,-7.16,0.03,157,0.68,0.6,525.42,2,238.67,0.2,0
145,-7.16,0.03,157,0.68,0.6,525.42,2,238.67,0.2,0
145,-7.16,0.03,157,0.68,0.6,525.42,2,238.67,0.2,0
145,-7.16,0.03,157,0.68,0.6,525.42,2,238.67,0.2,0
145,-7.16,0.03,157,0.68,0.6,525.42,2,238.67,0.2,0
145,-7.16,0.03,157,0.68,0.6,525.42,2,238.67,0.2,0
145,-7.16,0.03,157,0.68,0.6,525.42,2,238.67,0.2,0
145,-7.16,0.03,157,0.68,0.6,525.42,2,238.67,0.2,0
145,-7.16,0.03,157,0.68,0.6,525.42,2,238.67,0.2,0
145,-7.16,0.03,157,0.68,0.6,525.42,2,238.67,0.2,0
145,-7.16,0.03,157,0.68,0.6,525.42,2,238.67,0.2,0
145,-7.16,0.03,157,0.68,0.6,391.67,1,238.67,0.2,0
145,-7.16,0.03,157,0.68,0.6,525.42,2,238.67,0.2,0
145,-7.16,0.03,157,0.68,0.6,391.67,1,238.67,0.2,0
145,-7.16,0.03,157,0.68,0.6,525.42,2,238.67,0.2,0
145,-7.16,0.03,157,0.68,0.6,525.42,2,238.67,0.2,0
145,-7.16,0.03,157,0.68,0.6,525.42,2,238.67,0.2,0
145,-7.16,0.03,157,0.68,0.6,525.42,2,238.67,0.2,0
145,-7.16,0.03,157,0.68,0.6,525.42,2,238.67,0.2,0
145,-7.16,0.03,157,0.68,0.6,525.42,2,238.67,0.2,0
145,-7.16,0.03,157,0.68,0.6,525.42,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,579.18,3,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,579.18,3,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,579.18,3,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,368.06,1,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,368.06,1,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,579.18,3,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,579.18,3,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,368.06,1,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,368.06,1,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,579.18,3,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,368.06,1,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,579.18,3,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,368.06,1,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,579.18,3,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,368.06,1,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
146,-7.16,0.03,157,0.68,0.6,486.38,2,238.67,0.2,0
